rank,label,exact_rows,exact_safe_amounts,numeric_mismatches,absolute_safe_error,status_exact,method_exact,plan_exact,earliest_exact,optimistic,pessimistic
146,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=mean;phase=median",3,4,21,5668429.07,16,17,17,18,11,10
147,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=3;period_estimator=mean;phase=earliest",3,4,21,5668429.07,16,17,17,18,11,10
148,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(26, 33);shortfall=True;periods=3;period_estimator=mean;phase=latest",3,4,21,5668429.07,16,17,17,18,11,10
149,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(26, 33);shortfall=True;periods=3;period_estimator=mean;phase=median",3,4,21,5668429.07,16,17,17,18,11,10
150,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(26, 33);shortfall=True;periods=3;period_estimator=mean;phase=earliest",3,4,21,5668429.07,16,17,17,18,11,10
151,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=max;phase=latest",3,4,21,5646977.73,16,17,17,17,9,12
152,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=max;phase=median",3,4,21,5646977.73,16,17,17,17,9,12
153,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=max;phase=earliest",3,4,21,5646977.73,16,17,17,17,9,12
154,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=max;phase=latest",3,4,21,5652058.29,16,17,17,17,9,12
155,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=max;phase=median",3,4,21,5652058.29,16,17,17,17,9,12
156,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=max;phase=earliest",3,4,21,5652058.29,16,17,17,17,9,12
157,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=median;phase=latest",3,4,21,5718759.15,16,17,17,17,11,10
158,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=median;phase=median",3,4,21,5718759.15,16,17,17,17,11,10
159,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=median;phase=earliest",3,4,21,5718759.15,16,17,17,17,11,10
160,"chronology=A0;debit_amount=max;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=mean;phase=latest",3,4,21,5718759.15,16,17,17,17,11,10
